Channel Name,Channel ID,Video Title,Video ID,Video URL,Views,Publish Time
Berk Kaplan - Designer,Berk Kaplan - Designer,The incredible results of merging AI and my 3D model!,1vhBA8iTQjQ,https://www.youtube.com/watch?v=1vhBA8iTQjQ,"85,040 views",9 months ago
Berk Kaplan - Designer,Berk Kaplan - Designer,The incredible results of merging AI and my 3D model!,1vhBA8iTQjQ,https://www.youtube.com/watch?v=1vhBA8iTQjQ,"85,040 views",9 months ago
Berk Kaplan - Designer,Berk Kaplan - Designer,How to Become a Car Designer,42XHwlz9mp4,https://www.youtube.com/watch?v=42XHwlz9mp4,"31,819 views",2 years ago
Berk Kaplan - Designer,Berk Kaplan - Designer,Becoming a Car Designer in 2024: Why Being Obsessed is Non-Negotiable,tePmgEN3Dyw,https://www.youtube.com/watch?v=tePmgEN3Dyw,"6,959 views",3 months ago
Berk Kaplan - Designer,Berk Kaplan - Designer,CAR DESIGN 101 - what is PROPORTIONS?! - Sedan #cardesign #automotivedesign #proportions,6GG0iNiZsZo,https://www.youtube.com/watch?v=6GG0iNiZsZo,"35,938 views",2 years ago
Christopher Helmke,Christopher Helmke,A pneumatic accelerator for screws - 3d printed automation #004,hcJ7R7xvt44,https://www.youtube.com/watch?v=hcJ7R7xvt44,"1,376,678 views",11 months ago
JUJUMI,JUJUMI,3D design of small and medium-sized automated warehouse,wIG_f_fL2GI,https://www.youtube.com/watch?v=wIG_f_fL2GI,332 views,1 year ago
ArkoAI,ArkoAI,ArkoAI - Create AI generated rendering using your SketchUp® model,bz2u7Xn5J-E,https://www.youtube.com/watch?v=bz2u7Xn5J-E,"68,015 views",1 year ago
ArkoAI,ArkoAI,Using AI to generate renderings in Sketchup,MtWcK7nqcsE,https://www.youtube.com/watch?v=MtWcK7nqcsE,"41,768 views",1 year ago
Salmaan Mohamed,Salmaan Mohamed,6 FREE AI ARCHITECTURE RENDERING Tools Compared | Step-by-Step Guide,c47-eoBnqAM,https://www.youtube.com/watch?v=c47-eoBnqAM,"64,503 views",2 months ago
Salmaan Mohamed,Salmaan Mohamed,The ONLY AI tool Architects will Need | PromeAI | Step-by-Step Guide,8ivI63VMxLg,https://www.youtube.com/watch?v=8ivI63VMxLg,"237,968 views",5 months ago
Design Input,Design Input,Turn Your Mood Boards & SketchUp Models into Realistic Renders (Using AI),Uj-6v7tK0V4,https://www.youtube.com/watch?v=Uj-6v7tK0V4,"134,922 views",1 year ago
Design Input,Design Input,Create Realistic Render from Sketch Using AI (you should know this...),nFBVy73UnJg,https://www.youtube.com/watch?v=nFBVy73UnJg,"313,132 views",1 year ago
Jake Denham,Jake Denham,AI Tools to Get Ahead of 99% of 3D Artists,gra-3nIQxYs,https://www.youtube.com/watch?v=gra-3nIQxYs,"12,728 views",4 months ago
Jake Denham,Jake Denham,AI to 3D is HERE! A Simple Workflow,by-I5gExY7U,https://www.youtube.com/watch?v=by-I5gExY7U,"5,920 views",1 month ago
Jake Denham,Jake Denham,AI Tools to Get Ahead of 99% of 3D Artists,gra-3nIQxYs,https://www.youtube.com/watch?v=gra-3nIQxYs,"12,728 views",4 months ago
Arch Viz Artist,Arch Viz Artist,10 Must-Have AI Tools for 3D Artists,O0CoxLZrt2Q,https://www.youtube.com/watch?v=O0CoxLZrt2Q,"68,487 views",11 months ago
Arch Viz Artist,Arch Viz Artist,10 Must-Have AI Tools for 3D Artists,O0CoxLZrt2Q,https://www.youtube.com/watch?v=O0CoxLZrt2Q,"68,487 views",11 months ago
